st_transform,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel
"MULTILINESTRING ((12.1376918805759 54.0814232607274,12.1387195441647 54.0810501357304))",51e6433a-8b09-40f1-a02d-cade04842cf4,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Leibnizplatz,"06520"
"MULTILINESTRING ((12.083634 54.074989,12.082046 54.074904))",1932858e-9557-47cc-b549-b6ec9c8fb218,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Biberweg,"12990"
"MULTILINESTRING ((12.0841729093426 54.1806056698828,12.0844513172431 54.1797625054847))",9b679195-22e2-4629-954a-cbe0a39b14ad,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Luisenstraße,"06760"
"MULTILINESTRING ((12.162525 54.075386,12.163239 54.075582,12.163285 54.075598,12.16331 54.075617,12.163324 54.075632,12.163334 54.07565,12.163342 54.075678,12.16334 54.075703,12.163338 54.075727,12.163326 54.075759,12.163278 54.075835),(12.163277 54.075835,12.163074 54.076116,12.163067 54.07616,12.16307 54.076195,12.163256 54.076487,12.163347 54.076524,12.163397 54.076539,12.163441 54.076547,12.164003 54.076684,12.164049 54.076694,12.16409 54.076691,12.164116 54.07668,12.164142 54.076669,12.16422 54.076566,12.164295 54.07645,12.16447 54.076189,12.164478 54.076156,12.164469 54.07613,12.164432 54.076105,12.164244 54.076057,12.16391 54.075977,12.163277 54.075834))",cc6ec84d-46b0-4a33-b4f3-e4f37595edb2,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Röthsoll,"14360"
"MULTILINESTRING ((12.1380616608979 54.0696919367311,12.1380122908413 54.0696362914842,12.1379276585447 54.0695875146354,12.1378230726001 54.0695557406916,12.1376453644529 54.0695374367889,12.1355612284847 54.0695301908118,12.1355071659509 54.0695334860381,12.1353366530923 54.0695667398039),(12.1380752963329 54.0701644888593,12.1378251129623 54.0701716936254,12.1371118984374 54.0701665792373,12.1369529387811 54.0701602866008),(12.1380752963329 54.0701644888593,12.138071768736 54.0702982673176,12.138068479328 54.0705038290779,12.1380197019759 54.0706271479749,12.1378999009387 54.070844792318),(12.1380616608979 54.0696919367311,12.1380833040143 54.0697697148723,12.1380752963329 54.0701644888593),(12.1378999021298 54.0708451516837,12.1378776941696 54.0709196559701,12.1378794843093 54.0709988943571,12.137929704763 54.0710802334166,12.1382642276377 54.0713987875919,12.1384093316203 54.0715781245376,12.1384619746256 54.0716983620613,12.1384543933452 54.0718071691556,12.1383782738639 54.0718851495561,12.1381658121918 54.0719845790994,12.1375125263892 54.0721881006009,12.1374015338979 54.0722535423973),(12.1393270947639 54.0701640335479,12.1391813624194 54.0701618663897,12.1380756003443 54.0701640393014),(12.1380616608979 54.0696919367311,12.1394252630547 54.0696929691526,12.139459039331 54.0696985001845,12.1394905653385 54.0697162522999,12.1394920168898 54.0697391602725,12.1393408040534 54.0701069681348,12.1393270947639 54.0701640335479),(12.1400757601379 54.0702635172342,12.1394716463738 54.0701785102228,12.1393270947639 54.0701640335479))",bddf7f00-07b5-48e3-85ac-17f47c86244b,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Zur Mooskuhle,"10600"
"MULTILINESTRING ((12.0753813174886 54.0626733261971,12.0747358209378 54.0625412124336,12.0743754008728 54.0624600392108,12.0742730960991 54.0624711529953,12.0742212461814 54.0625137700433,12.0740503491321 54.0628573407462,12.0738938812496 54.0633295558134,12.0738309796691 54.0638582237259,12.0738310255826 54.0638840981409),(12.0750401467131 54.0639518090959,12.0739232818116 54.0638887132321,12.0738310255826 54.0638840981409),(12.0738310255826 54.0638840981409,12.0729999687783 54.0638493875694))",e26096b8-382c-49e7-95d2-165e3770d205,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Reetbruch,"14250"
"MULTILINESTRING ((12.0767031337978 54.0979534550562,12.0771107373104 54.0984992498961,12.0776746930602 54.0992733190085))",a7dc932c-58b4-4309-bbcd-b8225e9dc064,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Rudolf-Breitscheid-Straße,"07830"
"MULTILINESTRING ((12.1595056178982 54.1033550975412,12.1592988483918 54.102974174776,12.1590639780109 54.1025195290611))",af5610b7-72dd-430e-8e49-560f25862666,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Dubenweg,"12220"
"MULTILINESTRING ((12.1415728211012 54.0816022123593,12.1416358424277 54.0813088053003))",05db10d9-3530-4422-90ae-2539d1242244,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",1. St.-Jürgen-Straße,"00010"
"MULTILINESTRING ((12.0767373861016 54.0650919085665,12.0767890825919 54.0650485718161,12.0776966014597 54.0642202762717,12.0777372575554 54.0641545756284,12.0777289087962 54.0640185605165,12.0777097040948 54.0639577500192,12.0776552639603 54.0639209500445,12.0775615750818 54.0638854331538,12.0771781671732 54.0637711315359,12.077124552175 54.0637671230549,12.0770425677253 54.0637836166654,12.0769910050166 54.0638157232214,12.0760009696677 54.0646241207997,12.0758550320737 54.0647481946441))",55ea3fc1-7a92-4c3a-b730-0a8dd983c951,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Eikholt,"14240"
